# character	reading	attested
軃	duǒ	duǒ|tuǒ
軄	zhí	zhí
軅	yàn	yàn
軆	tǐ	tǐ
軇	dào	dào
軈	yīng	yīng
軉	yù	yù
車	chē	chē|jū
軋	yà	gá|yà|zhá
軌	guǐ	guǐ
軍	jūn	jūn
軎	wèi	wèi
軏	yuè	yuè
軐	xìn	xiàn|xìn
軑	dài	dài
軒	xuān	hǎn|jiān|xiàn|xiǎn|xuān
軓	fàn	fàn
軔	rèn	rèn
軕	shān	shān
軖	kuáng	kuáng
軗	shū	shū
軘	tún	tún
軙	chén	chén|qí
軚	dài	dài
軛	è	è
軜	nà	nà
軝	qí	qí
軞	máo	máo
軟	ruǎn	ruǎn
軠	kuáng	kuáng
軡	qián	qián
転	zhuǎn	zhuǎn
軣	hōng	hōng
軤	hū	hū
軥	qú	gòu|gōu|jū|qú
軦	kuàng	kuàng
軧	dǐ	chí|dǐ
軨	líng	líng|lǐng
軩	dài	dài
軪	āo	ào|āo
軫	zhěn	zhěn
軬	fàn	bèn|fàn
軭	kuāng	kuāng
軮	yǎng	yǎng
軯	pēng	pēng
軰	bèi	bèi
軱	gū	gū
軲	gū	gū
軳	páo	páo
軴	zhù	zhù
軵	rǒng	fù|fǔ|róng|rǒng
軶	è	è
軷	bá	bá
軸	zhóu	zhòu|zhóu|zhú
軹	zhǐ	zhǐ
軺	yáo	diāo|yáo
軻	kē	kē
軼	yì	dié|yì|zhé
軽	zhì	qīng|zhì
軾	shì	shì
軿	píng	píng
輀	ér	ér
輁	gǒng	gǒng
輂	jú	jú
較	jiào	jiào|jué|xiào
輄	guāng	guāng
輅	lù	hé|lù|yà
輆	kǎi	kài|kǎi
輇	quán	chūn|quán
輈	zhōu	zhōu
載	zài	dài|zài|zāi|zī|zǎi
輊	zhì	zhì
輋	shē	shē
輌	liàng	liàng
輍	yù	yù
輎	shāo	shāo
輏	yóu	yóu
輐	wàn	wàn|yuǎn
輑	yǐn	qūn|yǐn
輒	zhé	zhé
輓	wǎn	wǎn
輔	fǔ	fǔ
輕	qīng	qìng|qīng
輖	zhōu	zhōu
輗	ní	ní|yì
輘	léng	lèng|léng|líng
輙	zhé	zhé
輚	zhàn	zhàn
輛	liàng	liàng
輜	zī	zì|zī
