# character	reading	attested
㐀	qiū	qiū
㐁	tiàn	tiàn
㐄	kuà	kuà
㐅	wǔ	wǔ
㐆	yǐn	yǐn
㐌	yí	yí
㐖	xié	xié
㐜	chóu	chóu
㐡	nuò	nuò
㐤	dān	dān|qiú
㐨	xù	xù
㐩	xíng	xíng
㐫	xiōng	xiōng
㐬	liú	liú
㐭	lǐn	lǐn
㐮	xiāng	xiāng
㐯	yōng	yōng
㐰	xìn	xìn
㐱	zhěn	zhěn
㐲	dài	dài
㐳	wù	wù
㐴	pān	pān
㐵	rú	rú
㐷	mǎ	mǎ
㐸	qiàn	cì|qiàn
㐹	yì	yì
㐺	yín	yín|zhòng
㐻	nèi	nèi
㐼	chèng	chèng
㐽	fēng	fēng
㑁	zhuō	zhuō
㑂	fǎng	fǎng
㑃	ǎo	ǎo
㑄	wǔ	wǔ
㑅	zuò	zuò
㑇	zhòu	zhòu
㑈	dòng	dòng
㑉	sù	sù
㑊	yì	yì
㑋	qióng	qióng
㑌	kuāng	kuāng|wāng
㑍	lèi	lèi
㑎	nǎo	nǎo
㑏	zhù	zhù
㑐	shū	shū
㑔	xǔ	xǔ
㑗	shēn	shēn
㑘	jiè	jiè
㑙	dié	dié
㑚	nuó	nuó
㑛	sù	sù
㑜	yì	chì|yì
㑝	lòng	lòng
㑞	yìng	yìng
㑟	běng	běng
㑣	lán	lán
㑤	miáo	miáo
㑥	yì	yì
㑦	lì	lì
㑧	jì	jì
㑨	yǔ	yǔ
㑩	luó	luó
㑪	chái	chái
㑮	hún	hún
㑯	xǔ	xǔ
㑰	huì	huì
㑱	rǎo	rǎo
㑳	zhòu	zhòu|zhū
㑵	hàn	hàn
㑶	xì	xì
㑷	tài	tài
㑸	yáo	yáo
㑹	huì	huì
㑺	jùn	jùn
㑻	mà	mà
㑼	lüè	lüè
㑽	táng	táng
㑾	yáo	yáo
㑿	zhào	zhào
㒀	zhāi	zhāi|zhǎ
㒁	yǔ	yǔ
㒂	zhuó	zhuó
㒃	èr	èr
㒄	rǎn	rǎn
㒅	qǐ	qǐ
㒆	chì	chì
㒇	wǔ	wǔ
㒈	hàn	hàn
㒉	tǎng	tǎng
㒊	sè	sè
㒋	sī	sī
㒌	qióng	qióng
㒍	léi	léi
㒎	sà	sà
㒑	kuǐ	huì|kuǐ
㒒	pú	pú
㒓	tà	tà
㒔	shú	dú|shú|tù
㒕	yāng	yāng
㒖	ǒu	ǒu
㒗	tái	tái
㒙	mián	mián
㒚	yìn	wěn|yìn
㒛	diào	diào
㒜	yǔ	yǔ
㒝	miè	miè|wà
㒞	jùn	jùn
㒟	niǎo	niǎo
㒠	xiè	xiè
㒡	yóu	yóu
㒤	chè	chè
㒥	fēng	fēng
㒦	lěi	lèi|lěi
㒧	lì	lì
㒩	luǒ	luǒ
㒫	jì	jì
㒰	quán	quán
㒲	cái	cái
㒳	liǎng	liǎng
㒴	gǔ	gǔ
㒵	mào	mào
㒷	guǎ	guǎ
㒸	suì	suì
㒻	mào	mào
㒼	mán	mán
㒽	quān	quān
㒾	shì	shì
㒿	lí	lí
㓁	wǎng	wǎng
㓂	kòu	kòu
㓃	dù	dù
㓄	zhèn	zhèn
㓅	tīng	tīng
㓈	bìng	bìng
㓉	huò	huò
㓊	dòng	dòng
㓋	gòng	gòng
㓌	chēng	chēng
㓎	qīn	qìn|qīn|qǐn
㓏	jiǒng	jiǒng
㓐	lù	lù
㓑	xìng	xìng
㓓	nán	nán
㓔	xiè	xiè
㓖	bì	bì
㓗	jié	jié
㓘	sù	sù
㓚	gōng	gōng
㓜	yòu	yòu
㓝	xíng	xíng
㓞	qià	qià
㓟	pí	pí
㓠	diàn	diàn|diǎn
㓡	fǔ	fǔ|guā
㓢	luò	luò
㓣	qià	gē|qià
㓤	qià	qià
㓥	tāng	tāng
㓦	bāi	bāi
㓧	gān	gān
㓨	cí	cí
㓩	xuān	jiē|xuān
㓪	lǎng	lǎng
㓭	shé	shé
㓮	diāo	diāo
㓯	lí	lí
㓰	huà	huà
㓱	tóu	shū|tóu
㓲	piān	piān
㓳	dī	dī
㓴	ruǎn	ruǎn
㓵	è	è
㓶	qiè	qiè
㓷	yì	yì
㓸	zhuō	dōu|zhuō
㓹	ruì	cuì|jì|ruì
㓺	jiān	jiān|qián
㓼	chì	chì
㓽	chóng	chóng
㓾	xī	chí|xī
㔀	lüè	lüè
㔁	dēng	dēng
㔂	lín	lín
㔃	jué	jué|xuē
㔄	sù	sù
㔅	xiào	xiào
㔆	zàn	zàn
㔉	zhǔ	zhǔ
㔊	zhǎn	dǎn|zhǎn
㔋	jiān	jiān|lán
㔌	zòu	cǒu|zòu
㔍	chuā	chuā|zhá
㔎	xiè	xiè
㔏	lì	luǒ|lì
㔑	chì	chì
㔒	xí	xí
㔓	jiǎn	jiǎn
㔕	jí	jí
㔗	fèi	bèi|fèi|fú
㔘	chù	chù
㔙	bēng	bēng
㔚	jié	jié
㔜	bá	bá
㔝	liǎng	liáng|liǎng
㔞	kuài	kuài
㔠	xiā	hé|xiā
㔡	biē	biē
㔢	jué	jué|xuē
㔣	léi	léi
㔤	xìn	xìn
㔥	bài	bài|pí
㔦	yǎng	yǎng
㔧	lǜ	lǜ
㔨	bèi	bèi
㔩	è	è
㔪	lǔ	lǔ
㔭	chè	chè
㔮	nuó	nuó
㔯	xuán	suǎn|xuán
㔰	héng	héng
㔱	yǔ	yǔ
㔳	guǐ	guǐ
㔴	yì	yì
㔵	xuǎn	xuǎn
㔶	gòng	gòng|gǎn
㔷	lòu	lòu
㔸	tī	tī
㔹	lè	lè
㔺	shì	shì
㔼	sǔn	sǔn
㔽	yào	yào
㔾	xiān	jié|xiān
㔿	zòu	zòu
㕁	què	què
㕂	yín	qín|yín
㕃	xī	xī
㕄	zhǐ	zhǐ
㕅	jiá	jiá
㕆	hù	hù
㕇	lā	lā
㕈	yǐ	yǐ
㕉	kè	kè
㕊	fū	fū
㕋	qín	qín
㕌	ài	ài
㕎	kè	kè
㕏	chú	chú
㕐	xiě	xiè|xiě
㕑	chú	chú
㕒	wēi	wēi
㕕	huàn	huàn
㕖	sù	sù
㕗	yòu	yòu
㕙	jùn	jùn
㕚	zhǎo	zhǎo
㕛	xù	xù
㕜	shǐ	shǐ
㕞	shuā	shuā
㕟	kuì	kuài|kuì
㕠	shuāng	shuāng
㕡	hé	hé
㕢	gài	gài|hài
㕣	yǎn	yǎn
㕤	qiú	qiú
㕥	shēn	shēn
㕦	huà	huà
㕧	xī	xī
㕨	fàn	fàn
㕩	pàng	pàng
㕪	dǎn	dǎn
㕫	fǎng	fēng|fǎng
㕬	gōng	gōng|sòng
㕭	āo	ào|āo
㕮	fǔ	fǔ
㕯	nè	nè
㕰	xuè	ma|xuè
㕱	yóu	yóu
㕲	huá	huá|yíng
㕴	chén	chén
㕵	guó	guó
㕶	ň	ň|ňg
㕷	huà	huà|pā
㕸	lì	lì
㕹	fá	fá
㕺	xiāo	xiāo
㕻	pǒu	pǒu
㕽	sì	sì
㖀	lè	lè
㖁	lìn	lìn
㖂	yì	yì
㖃	hǒu	hòu|hǒu
㖅	xù	xù
㖆	qú	qú
㖇	ér	ér
㖊	xún	xún
㖏	niè	niè
㖐	wěi	wěi
㖑	xiè	xiè
㖒	tí	tí
㖓	hóng	hóng
㖔	tǔn	tǔn
㖕	niè	niè|xīn
㖖	niè	niè
㖗	yín	yín
㖘	zhēn	zhēn
㖞	wāi	wāi
㖟	shòu	shòu
㖠	nuò	nuò
㖡	yè	yè
㖢	qí	qí
㖣	tòu	tòu
㖤	hán	hán
㖥	jùn	jùn
㖦	dǒng	dǒng
㖧	hūn	hūn|wěn
㖨	lù	lù
㖩	jū	jū|sǒu
㖪	huò	guó|huò|xù
㖫	líng	líng
㖭	tiǎn	tiǎn
㖮	lún	lún
㖵	gé	gé
㖶	yān	yè|yān|yīn
㖷	shí	shí|tí
㖸	xué	niā|xué
㖹	pēn	fèn|pēn
㖺	chǔn	chǔn
㖻	niú	niú|ròu
㖼	duǒ	duǒ
㖽	zé	zé
㖾	è	è
㖿	xié	xié|yé
㗀	yōu	yōu
㗁	è	è
㗂	shěng	shěng
㗃	wěn	hūn|wěn
㗄	kū	kū
㗅	hú	hú
㗆	gé	gé
㗇	xiá	xiá|ya
㗈	màn	màn
㗉	lüè	lüè|è
㗊	jí	jí|léi
㗋	hóu	hóu
㗌	zhì	zhì
㗏	wāi	wāi
㗑	bai	bai
㗒	ài	ài
㗓	zhuī	zhuī
㗔	qiān	qiān
㗕	gòu	gòu|gōu
㗖	dàn	dàn
㗗	bēi	bēi
㗘	bó	bó
㗙	chū	chū|nà|zhōu
㗚	lì	lì
㗛	xiào	xiào
㗜	xiù	xiù
㗢	hóng	dòng|hòng|hóng
㗣	tì	tì
㗤	cù	cù
㗥	kuò	guō|kuò
㗦	láo	láo
㗧	zhì	dié|zhì
㗨	xiē	xiē|ǎi
㗩	xī	xī
㗫	qiè	qiè
㗬	zhā	zhā
㗭	xī	xī
㗰	cóng	cóng
㗱	jí	jí
㗲	huò	huò
㗳	tǎ	dā|tǎ
㗴	yán	yán
㗵	xù	xù
㗶	pō	pō
㗷	sǎi	sǎi
㗻	guō	guō
㗼	yè	yè
㗽	xiǎng	xiǎng
㗾	xuē	xuē
㗿	hé	hé|xià|xiā
㘀	zuò	zuò
㘁	yì	yì
㘂	cí	cí
㘄	lēng	lēng
㘅	xián	xián
㘆	tǎi	tǎi
㘇	róng	róng
㘈	yì	nǐ|yì
㘉	zhì	zhì
㘊	xī	xī|yì
㘋	xián	xián
㘌	jù	jù
㘍	jí	jí
㘎	hǎn	hǎn
㘐	pào	pào
㘑	lì	lì
㘓	lán	lán
㘔	sǎi	sǎi
㘕	hǎn	hǎn|lán
㘖	yán	yán
㘗	qū	qū
㘙	yán	yán
㘚	hǎn	hǎn
㘛	kān	kān
㘜	chǐ	chǐ
㘝	niè	niè
㘞	huò	huò
㘠	bì	bì
㘡	xiá	xiá
㘢	wěng	wěng
㘣	xuán	xuán|yuán
㘤	wān	wān
㘥	yóu	yóu
㘦	qín	qín
㘧	xù	xù
㘨	niè	niè
㘩	bì	bì
㘪	hào	hào
㘫	jǐng	jǐng
㘬	ào	wù|ào
㘭	ào	ào
㘰	zhēn	zhēn
㘱	tān	tān
㘲	jú	jú
㘴	zuò	zuò
㘵	bù	bù
㘶	jié	jié
㘷	ài	ài
㘸	zàng	zuò|zàng
㘹	cí	cí
㘺	fá	fá
㘿	niè	niè
㙀	liù	jiù|liù
㙁	méi	méi|mù
㙂	duì	duì|wèng
㙃	bāng	bāng
㙄	bì	bì
㙅	bǎo	bǎo
㙇	chù	chù
㙈	xià	xià
㙉	tiǎn	tiǎn
㙊	cháng	cháng|zhàng
㙍	duō	duō
㙎	wēi	wēi
㙏	fù	fù
㙐	duǒ	duǒ
㙑	yǔ	yǔ
㙒	yě	yě
㙓	kuí	kuí
㙔	wěi	hán|wěi
㙕	kuài	kuài
㙗	wēi	wēi
㙘	yāo	yāo
㙙	lǒng	lǒng
㙚	xīng	xīng
㙛	bǔ	bǔ
㙜	chí	chí
㙝	xié	xié
㙞	niè	niè
㙟	lǎng	lǎng
㙠	yī	yì|yī
㙡	zōng	zōng
㙢	mán	mán
㙣	zhàng	zhàng
㙤	xià	xià
㙥	gùn	gùn
㙦	xié	xié
㙨	jì	jì
㙩	liáo	liáo
㙪	yì	yì
㙫	jí	jí
㙬	yín	yín
㙮	dā	da|dā
㙯	yì	yì
㙰	xiè	xiè
㙱	hào	hào
㙲	yǒng	yǒng
㙳	kǎn	hǎn|kǎn
㙴	chàn	chàn
㙵	tái	tái
㙶	táng	táng
㙷	zhí	zhé|zhí
㙸	bào	bào
㙹	méng	méng
㙺	kuí	guì|kuí
㙻	chán	chán
㙼	lěi	lěi
㙾	xì	xì
㚀	xī	xī
㚁	qiào	qiào
㚂	nàng	nàng
㚃	yūn	yūn
㚅	lóng	lóng
㚆	fù	fù
㚇	zōng	zōng
㚉	gǔ	gǔ
㚊	kāi	kāi
㚋	diāo	diāo
㚌	huà	huà
㚍	kuǐ	kuì|kuǐ
㚏	gǎo	gǎo
㚐	tào	tào
㚒	shǎn	shǎn
㚓	lǎi	lǎi
㚔	niè	niè|xìng
㚕	fú	fú
㚖	gǎo	gǎo|zé
㚗	qié	qié
㚘	bàn	bàn|fú|hè
㚙	jiā	jiā
㚚	kōng	kuāng|kōng
㚛	xì	xì
㚜	yù	xù|yù
㚝	zhuī	zhuī
㚞	shěn	shěn
㚟	chuò	chuò
㚠	xiāo	xiāo
㚡	jǐ	jǐ
㚢	nú	nú|wǔ
㚣	xiáo	xiáo
㚤	yì	yì
㚥	yú	yú
㚦	yí	yí
㚧	yǎn	yǎn
㚨	shěn	shěn
㚩	rǎn	rǎn
㚪	hào	hào
㚫	sà	sà
㚬	jūn	jūn
㚭	yóu	yóu
㚯	xín	xín
㚰	pēi	bǐ|pēi
㚱	qiū	qiū
㚲	chān	chān|diàn|diǎn
㚴	bù	bù
㚵	dōng	dōng
㚶	sì	sì|yí
㚷	ěr	ěr
㚹	mǎo	liǔ|mǎo
㚺	yùn	yùn
㚻	jī	jī
㚽	qiǎo	qiǎo
㚾	xiōng	xiōng
㚿	páo	páo
㛀	chú	chú
㛁	pēng	pēng
㛂	nuǒ	nuǒ
㛃	jié	jié
㛄	yī	yī
㛅	èr	èr
㛆	duò	duò|duǒ
㛊	duǒ	duǒ
㛍	qiè	qiè|xiá|xiǎn
㛎	lǚ	lǚ
㛏	qiú	qiú
㛐	sǒu	sǒu
㛑	càn	càn
㛒	dòu	dòu
㛓	xī	xī
㛔	fēng	fēng|péng
㛕	yì	yì|è
㛖	suō	suō
㛗	qiē	qiē|suō|zuō
㛘	pò	pò
㛙	xīn	qiè|xīn
㛚	tǒng	tǒng|yǒng
㛛	xìn	xìn
㛜	yóu	yóu
㛝	bèi	bèi
㛞	lòng	lòng
㛣	yún	yún
㛤	lí	lí
㛥	tà	tà
㛦	lǎn	lǎn
㛧	mǎn	mǎn
㛨	qiǎng	qiǎng
㛩	zhóu	zhóu
㛪	yàn	yàn|yān
㛫	xī	xī
㛬	lù	lù
㛭	xī	xī
㛮	sǎo	sǎo
㛯	fàn	fàn|miǎn|zhuàn
㛱	wěi	wēi|wěi
㛲	fà	fà
㛳	yì	yì
㛴	nǎo	nǎo
㛵	chēng	chēng
㛶	tàn	tàn
㛷	jī	jī
㛸	shù	shù
㛹	pián	pián
㛺	ān	ān
㛻	kuā	kuā
㛼	chā	chā|shà
㛾	xián	xián
㛿	zhì	zhì
㜂	fēng	fēng
㜃	liàn	liàn
㜄	xún	xún
㜅	xù	xù
㜆	mì	mì
㜇	huì	huì|yè
㜈	mù	mù
㜉	yōng	yōng
㜊	zhǎn	zhǎn
㜋	yì	yì
㜌	nǒu	gòu|kòu|nǒu
㜍	táng	táng
㜎	xī	xì|xī
㜏	yún	yún
㜐	shù	shù
㜑	fú	fú
㜒	yì	yì
㜓	dá	dá
㜕	lián	lián
㜖	cáo	cáo
㜗	cān	cān|sēn
㜘	jù	chá|jù|qù
㜙	lù	lù
㜚	sù	sù
㜛	nèn	nèn
㜜	ào	ào
㜝	ǎn	yǎn|ǎn
㜞	qiàn	cán|qiàn
㜠	cuī	cuī
㜡	cōng	cōng
㜣	rán	rán|rǎn
㜤	niǎn	niǎn|tiǎn|tán
㜥	mái	mái
㜦	xín	xín
㜧	yuè	yuè
㜨	nái	nái
㜩	ào	ào
㜪	shēn	shēn
㜫	mà	mà
㜮	làn	làn|lán
㜯	xī	xī
㜰	yuè	yuè
㜱	zhì	zhì
㜲	wěng	wěng
㜳	huái	huái
㜴	mèng	mèng
㜵	niǎo	niǎo
㜶	wǎn	wǎn
㜷	mí	mí|xiǎn
㜸	niè	niè
㜹	qú	qú
㜺	zàn	zàn
㜻	liàn	liàn
㜼	zhí	zhí
㜽	zǐ	zǐ
㜾	hái	hái
㜿	xù	xù
㝀	hào	hào
㝁	xuān	qióng|xuān
㝂	zhì	zhè|zhì
㝃	miǎn	miǎn
㝄	chún	chún
㝅	gòu	gòu
㝇	chún	chún
㝈	luán	luán
㝉	zhù	zhù
㝊	shǒu	shǒu
㝋	liǎo	liǎo
㝌	jiù	jiù
㝍	xiě	xiě
㝎	dìng	dìng
㝏	jiè	jiè
㝐	róng	róng
㝑	máng	máng
㝓	kè	kè
㝔	yǎo	yǎo
㝕	níng	níng
㝖	yí	yí
㝗	láng	láng|lǎng
㝘	yóng	yóng
㝙	yín	yín
㝚	yán	yán
㝛	sù	sù
㝝	lín	lín
㝞	yā	yà|yā
㝟	máo	máo
㝠	míng	míng
㝡	zuì	zuì
㝢	yǔ	yǔ
㝣	yì	yì
㝤	gòu	gòu
㝥	mǐ	mǐ
㝦	jùn	jùn
㝧	wěn	wěn
㝩	kāng	kāng
㝪	diàn	diàn
㝫	lóng	lóng
㝭	xǐng	xǐng
㝮	cuì	cuì
㝯	qiáo	qiáo
㝰	mián	mián
㝱	mèng	mèng
㝲	qǐn	qǐn
㝴	wán	wán
㝵	dé	dé|ài
㝶	ài	ài
㝸	biàn	biàn
㝹	nóu	nóu
㝺	lián	lián
㝻	jǐn	jǐn
㝼	yū	yū
㝽	chuí	chuí
㝾	zuǒ	zuǒ
㝿	bǒ	bǒ
㞀	huī	huī
㞁	yào	yào
㞂	tuǐ	tuì|tuǐ
㞃	jì	jì
㞄	ān	ān
㞅	luò	luò
㞆	jǐ	jǐ
㞇	wěi	wěi
㞈	bō	bō
㞉	zā	zā
㞊	xù	xù
㞋	niǎn	jí|niǎn
㞌	yùn	yùn
㞎	bǎ	bǎ|pā
㞏	zhé	jié|zhé
㞐	jū	jū
㞑	wěi	wěi
㞒	xiè	xiè|xì
㞓	qì	jī|qì
㞔	yí	yí
㞕	xiè	xiè
㞖	cí	cì|cí
㞗	qiú	qiú
㞘	dū	dū
㞙	niào	niào
㞚	qì	qì|zhǎ
㞛	jǐ	jǐ
㞜	tuī	tuī
㞞	sóng	sóng
㞟	diàn	diàn|dǐng
㞠	láo	láo
㞡	zhǎn	zhǎn
㞤	yín	cén|yín
㞥	cén	cén
㞦	jǐ	jǐ
㞧	huì	huì
㞨	zǐ	zǐ
㞩	lán	lán
㞪	náo	náo
㞫	jù	jù
㞬	qìn	qìn
㞭	dài	dài
㞯	jié	jié
㞰	xǔ	xǔ
㞱	cōng	cōng
㞲	yòng	yòng
㞳	dǒu	dǒu
㞴	chí	chí|mín
㞶	mǐn	mǐn
㞷	huáng	huáng
㞸	suì	suì
㞹	kě	kě
㞺	zú	zú
㞻	hào	hào
㞼	chéng	chéng
㞽	xuè	xuè
㞾	ní	ní
㞿	chì	chì
㟀	lián	lián
㟁	àn	àn
㟂	mǔ	mǔ
㟃	sī	sī
㟄	xiáng	xiáng
㟅	yáng	yáng
㟆	huá	huá
㟇	cuò	cuò|cuó
㟈	qiú	qiú
㟉	láo	láo
㟊	fú	fú
㟋	duì	duì
㟌	máng	máng
㟍	láng	láng|lǎng
㟎	tuǒ	tuǐ|tuǒ
㟏	hán	hán
㟐	mǎng	mǎng
㟑	bó	bó
㟒	qūn	qūn
㟓	qí	qí
㟔	hán	hán
㟖	lòng	lòng|lóng
㟗	bīn	bīn
㟘	tiáo	tiáo
㟙	zé	zé
㟚	qí	qí
㟛	zàn	zàn
㟜	mí	mí
㟝	péi	péi
㟞	zhàn	zhàn
㟟	xiàng	xiàng
㟠	gǎng	gǎng
㟢	qí	qí
㟤	lù	lù
㟥	cēn	cēn
㟦	yùn	yùn
㟧	è	è
㟨	duān	duān
㟩	mín	mín
㟪	wēi	wēi|wěi
㟫	quán	quán
㟬	sǒu	sǒu
㟭	mín	mín
㟮	tū	tū
㟰	mǐng	mǐng
㟱	yǎo	yǎo
㟲	jué	jué
㟳	lì	lì
㟴	kuài	kuài
㟵	gǎng	gǎng
㟶	yuán	yuán
㟷	da	da
㟹	láo	láo
㟺	lóu	lóu
㟻	qiàn	qiàn|zhǎn
㟼	áo	áo
㟽	biǎo	biāo|biǎo
㟾	yōng	yōng
㟿	mǎng	máng|mǎng
㠀	dǎo	dǎo
㠂	áo	áo
㠄	xí	xí
㠅	fú	fù|fú
㠆	dān	dān
㠇	jiù	jiù
㠈	rùn	rùn
㠉	tóng	tóng
㠊	qū	qū
㠋	è	è
㠌	qī	qī
㠍	jí	jí
㠎	jí	jié|jí
㠏	huá	huá
㠐	jiào	jiào
㠑	zuì	zuì
㠒	biǎo	biǎo
㠓	méng	méng
㠔	bài	bài
㠕	wěi	wěi
㠖	yǐ	yǐ
㠗	ào	ào
㠘	yǔ	yǔ
㠙	háo	háo
㠚	duì	duì
㠛	wò	wò
㠜	nì	nì
㠝	cuán	cuán
㠟	lí	lí
㠠	lú	lú
㠡	niǎo	niǎo
㠢	huái	huái
㠣	lì	lì
㠥	lǜ	léi|lěi|lǜ
㠦	fēng	fēng
㠧	mǐ	mǐ
㠨	yù	yù
㠪	jù	jù
㠭	zhǎn	zhǎn
㠮	pēng	gāng|pēng
㠯	yǐ	yǐ
㠱	jì	jì|qǐ
㠲	bǐ	bǐ
㠴	rèn	rèn
㠵	huāng	huāng
㠶	fán	fán
㠷	gé	gé
㠸	kù	kù
㠹	jiè	jiè
㠺	shā	miáo|shā
㠼	sī	sī
㠽	tóng	tóng
㠾	yuān	yuān
㠿	zī	cǐ|zī
㡀	bì	bì
㡁	kuǎ	kuǎ
㡂	lì	lì
㡃	huāng	huāng
㡄	xún	xún
㡅	nuǒ	nuǒ
㡇	zhé	jiē|zhé
㡈	wèn	miǎn|mén|wèn
㡉	xián	xián
㡊	qià	qià
㡋	yé	yé|ān
㡌	mào	mào
㡎	shān	shān
㡏	shù	shù|shū|tóu|xū
㡑	qiāo	jiǎo|qiāo
㡒	zhūn	zhūn
㡓	kūn	kūn
㡔	wù	wù
㡕	yīng	yīng
㡖	chuáng	chuáng
㡗	tí	tí
㡘	lián	lián|lín
㡙	bī	bī
㡚	gōu	gōu
㡛	máng	máng
㡜	xiè	xiè|xuě
㡝	fèng	fèng
㡞	lóu	lóu|lǚ
㡟	zāo	zāo
㡠	zhèng	zhèng
㡡	chú	chú
㡢	màn	màn
㡣	lóng	lóng
㡥	yìn	yìn
㡦	pīn	pīn
㡧	zhèng	zhèng
㡨	jiān	jiān|qiān
㡩	luán	luán
㡪	nié	nié
㡫	yì	yì
㡭	jì	jì
㡮	jí	jí
㡯	zhái	duó|dù|zhái
㡰	yǔ	yǔ
㡱	jiǔ	jiǔ
㡲	huán	huán
㡳	zhǐ	zhǐ
㡴	lā	lā
㡵	líng	líng
㡶	zhǐ	zhǐ
㡷	běn	běn
㡸	zhà	chá|zhà|zhǎ
㡹	jū	jū
㡺	dàn	dàn
㡻	liào	liào
㡼	yì	yì
㡽	zhào	zhào
㡾	xiàn	xiàn
㡿	chì	chì
㢀	cì	cì
㢁	chǐ	chǐ|shǐ
㢂	yǎn	duī|tuí|yǎn
㢃	láng	láng
㢄	dòu	dòu
㢅	lòng	lòng
㢆	chán	chán
㢈	tuí	duī|tuí
㢉	chá	chá
㢊	ǎi	yǐ|ǎi
㢋	chǐ	chǐ
㢍	yǐng	yǐng
㢎	zhé	zhé
㢏	tóu	tóu|yú|yǔ
㢑	tuí	tuí
㢒	chá	chá
㢓	yǎo	yǎo
㢔	zǒng	zǒng
㢖	pān	bān|pān
㢗	qiào	qiào
㢘	lián	lián
㢙	qín	qín
㢚	lǔ	lǔ
㢛	yàn	qiān|yàn
㢜	kàng	kàng|kāng
㢝	sū	sū
㢞	yì	yì
㢟	chān	chān
㢠	jiǒng	jiǒng
㢡	jiǎng	jiǎng
㢣	jìng	jìng
㢥	dòng	dòng
㢧	juàn	juàn
㢨	hàn	hàn
㢩	dì	dì
㢬	hóng	hóng
㢮	chí	chí
㢯	diāo	diāo|mín
㢰	bì	bì
㢲	xùn	xùn
㢳	lú	lú
㢵	xié	shè|xié
㢶	bì	bì
㢸	bì	bì
㢺	xián	xián
㢻	ruì	ruì
㢼	biè	biè
㢽	ěr	ěr
㢾	juàn	juàn
㣀	zhèn	zhèn
㣁	bèi	bèi
㣂	è	è
㣃	yǔ	yǔ
㣄	qú	qú
㣅	zàn	zàn
㣆	mí	mí
㣇	yì	yì
㣈	sì	sì
㣌	shàn	shàn
㣍	tái	tái
㣎	mù	mù
㣏	jìng	jìng
㣐	biàn	biàn
㣑	róng	róng
㣒	cèng	cèng
㣓	càn	càn
㣔	dīng	dīng
㣙	dí	dí|zhòu
㣚	tǒng	dòng|tóng|tǒng
㣛	tà	huì|tà
㣜	xíng	xíng
㣝	sōng	sōng
㣞	duó	duó
㣟	xì	xì
㣠	tāo	tóng|tāo
㣢	tí	tí
㣣	shàn	shàn
㣤	jiàn	jiàn
㣥	zhì	zhì
㣦	wēi	wēi
㣧	yìn	yìn
㣪	huǎn	huǎn
㣫	zhǒng	dòng|zhǒng
㣬	qì	qì
㣭	zōng	zōng
㣯	xiè	xiè
㣰	xiè	xiè
㣱	zé	zé
㣲	wéi	wéi
㣵	tà	tà
㣶	zhān	zhān
㣷	nìng	nìng
㣺	xīn	xīn
㣻	yì	yì
㣼	rěn	rěn
㣽	shù	nù|shù
㣾	chà	chà
㣿	zhuó	diǎo|zhuó
㤁	miǎn	miǎn
㤂	jí	jí
㤃	fáng	fáng
㤄	pèi	pèi
㤅	ài	jì|xì|ài
㤆	fàn	fàn
㤇	ǎo	ǎo
㤈	qìn	qìn
㤉	qiā	qiā|yà
㤊	xiào	xiào
㤋	fēn	fēn
㤌	gān	gān
㤍	qiāo	qiāo|qiǎo
㤎	gē	gē
㤏	tóng	tóng
㤐	chān	chān
㤑	yòu	yòu
㤒	gāo	gāo
㤓	bèn	bèn
㤔	fù	fù
㤕	chù	chù|pò
㤖	zhù	zhù
㤘	zhòu	zhòu
㤚	háng	háng
㤛	nín	nín
㤜	jué	jué
㤝	chōng	chōng
㤞	chà	chà|duó|zé
㤟	kǒng	kǒng
㤠	liè	liè
㤡	lì	liè|lì
㤢	yù	yù
㤤	yú	yú
㤥	hài	hài
㤦	lì	lì
㤧	hóu	hóu
㤨	gǒng	gǒng
㤩	kè	kè
㤪	yuàn	yuàn
㤫	dé	dé
㤬	huì	huì
㤭	jiāo	jiāo
㤮	guàng	guàng
㤯	jiǒng	jiǒng
㤰	zuò	zuò
㤱	fù	dòu|fù
㤲	qiè	qiè
㤳	běi	běi
㤴	chè	chè|dié|shè
㤵	cí	cí
㤶	máng	màng|máng
㤷	hān	hān
㤸	xì	xì
㤹	qiú	jiù|qiú
㤺	huǎng	huǎng
㤽	chóu	chóu
㤾	sàn	sàn|tàn
㤿	yān	yān
㥀	zhí	dé|zhí
㥁	dé	dé
㥂	tè	tè
㥃	mèn	mèn
㥄	líng	líng
㥅	shòu	shòu
㥆	tuì	tuì
㥇	cán	cán
㥈	dié	dié
㥉	chè	chè
㥊	péng	péng|pēng
㥋	yī	yī
㥌	jú	jú
㥍	jì	jì
㥎	lái	lái
㥏	tiǎn	tiǎn
㥐	yuàn	yuàn
㥒	cǎi	cāi|cǎi
㥓	qī	qī
㥔	yù	yù
㥕	lián	lián
㥖	cōng	cōng
㥚	yú	yú|yǔ
㥛	jí	jí|kè
㥜	wèi	wèi
㥝	mǐ	mǐ
㥞	suì	suì
㥟	xié	xié
㥠	xū	xū
㥡	chì	chì
㥢	qiú	jiū|qiú
㥣	huì	huì
㥥	yú	yú
㥦	qiè	qiè
㥧	shùn	shùn
㥨	shuì	shuì|wěi
㥩	duǒ	duǒ
㥪	lóu	lóu
㥬	páng	páng
㥭	tài	tài
㥮	zhòu	chǎo|zhòu
㥯	yǐn	yǐn
㥰	sāo	sāo
㥱	fěi	fěi
㥲	chēn	chēn|shèn
㥳	yuán	yuán
㥴	yí	tí|yí
