# form	reading	naive	authority	note
走味兒	zǒu wèi r	zǒu wèi ér	cc-cedict	erhua variant of 走味[zou3 wei4]
走地盤	zǒu dì pán	zǒu de pán	cc-cedict	live betting/in-play wagering
走地雞	zǒu dì jī	zǒu de jī	cc-cedict	free-range chicken
走形兒	zǒu xíng r	zǒu xíng ér	cc-cedict	out of shape/to lose shape/to deform
走樣兒	zǒu yàng r	zǒu yàng ér	cc-cedict	to lose shape/to deform
走為上	zǒu wéi shàng	zǒu wèi shàng	cc-cedict	see 三十六計，走為上策|三十六计，走为上策[san1 shi2 liu4 ji4 , zou3 wei2 shang4 ce4]
走神兒	zǒu shén r	zǒu shén ér	cc-cedict	absent-minded/one's mind is wandering
走著瞧	zǒu zhe qiáo	zǒu zhù qiáo	cc-cedict	wait and see (who is right)
起名兒	qǐ míng r	qǐ míng ér	cc-cedict	erhua variant of 起名[qi3 ming2]
起小兒	qǐ xiǎo r	qǐ xiǎo ér	cc-cedict	erhua variant of 起小[qi3 xiao3]
起徵點	qǐ zhēng diǎn	qǐ zhǐ diǎn	cc-cedict	tax threshold
趁早兒	chèn zǎo r	chèn zǎo ér	cc-cedict	erhua variant of 趁早[chen4 zao3]
超對稱	chāo duì chèn	chāo duì chēng	cc-cedict	supersymmetry
超負荷	chāo fù hè	chāo fù hé	cc-cedict	excess load/an overload/overloaded
趕明兒	gǎn míng r	gǎn míng ér	cc-cedict	(coll.) some day/one of these days
趟渾水	tāng hún shuǐ	tàng hún shuǐ	cc-cedict	(fig.) to get involved in an unsavory enterprise
趿拉兒	tā la r	tā lā ér	cc-cedict	heelless slipper; babouche
跑味兒	pǎo wèi r	pǎo wèi ér	cc-cedict	to lose flavor
跑神兒	pǎo shén r	pǎo shén ér	cc-cedict	absent-minded/one's mind is wandering
跑腿兒	pǎo tuǐ r	pǎo tuǐ ér	cc-cedict	to run errands
跑馬地	pǎo mǎ dì	pǎo mǎ de	cc-cedict	Happy Valley (suburb of Hong Kong)
跨地區	kuà dì qū	kuà de qū	cc-cedict	interregional/spanning two or more PRC provinces
蹦高兒	bèng gāo r	bèng gāo ér	cc-cedict	erhua variant of 蹦高[beng4 gao1]
躡著腳	niè zhe jiǎo	niè zhù jiǎo	cc-cedict	to tiptoe
身分證	shēn fèn zhèng	shēn fēn zhèng	cc-cedict	variant of 身份證|身份证[shen1 fen4 zheng4]
身板兒	shēn bǎn r	shēn bǎn ér	cc-cedict	erhua variant of 身板[shen1 ban3]
車份兒	chē fèn r	chē fèn ér	cc-cedict	erhua variant of 車份|车份[che1 fen4]
車頭相	chē tóu xiàng	chē tóu xiāng	cc-cedict	photo attached to the front of a hearse in a funeral procession
軋鋼廠	zhá gāng chǎng	yà gāng chǎng	cc-cedict	a steel rolling mill
軋鋼條	zhá gāng tiáo	yà gāng tiáo	cc-cedict	steel rails
軋鋼機	zhá gāng jī	yà gāng jī	cc-cedict	a steel rolling mill
軍樂團	jūn yuè tuán	jūn lè tuán	cc-cedict	military band
軍樂隊	jūn yuè duì	jūn lè duì	cc-cedict	military band
軟泥兒	ruǎn ní r	ruǎn ní ér	cc-cedict	erhua variant of 軟泥|软泥[ruan3 ni2]
軟著陸	ruǎn zhuó lù	ruǎn zhù lù	cc-cedict	(aviation) soft landing/(economics) soft landing
軟齦音	ruǎn yín yīn	ruǎn kěn yīn	cc-cedict	velar sound (linguistics)
軸對稱	zhóu duì chèn	zhóu duì chēng	cc-cedict	(geometry) axial symmetry
較勁兒	jiào jìn r	jiào jìn ér	cc-cedict	erhua variant of 較勁|较劲[jiao4 jin4]
較真兒	jiào zhēn r	jiào zhēn ér	cc-cedict	erhua variant of 較真|较真[jiao4 zhen1]
載伯德	zǎi bó dé	zài bó dé	cc-cedict	Zebedee (name)
輕音樂	qīng yīn yuè	qīng yīn lè	cc-cedict	light music
輝長岩	huī cháng yán	huī zhǎng yán	cc-cedict	gabbro (geology)
轉一趟	zhuàn yī tàng	zhuǎn yī tàng	cc-cedict	to go on a trip
轉動件	zhuàn dòng jiàn	zhuǎn dòng jiàn	cc-cedict	rotor
轉動軸	zhuàn dòng zhóu	zhuǎn dòng zhóu	cc-cedict	axis of rotation (mechanics)/spindle
轉字鎖	zhuàn zì suǒ	zhuǎn zì suǒ	cc-cedict	combination lock
轉差率	zhuǎn chā lǜ	zhuǎn chà lǜ	cc-cedict	slippage rate
轉矩臂	zhuàn jǔ bì	zhuǎn jǔ bì	cc-cedict	torque arm
轉筆刀	zhuàn bǐ dāo	zhuǎn bǐ dāo	cc-cedict	pencil sharpener
轉腰子	zhuàn yāo zi	zhuǎn yāo zǐ	cc-cedict	(coll.) to pace around nervously/to speak indirectly/to beat about the bush
轉車台	zhuàn chē tái	zhuǎn chē tái	cc-cedict	a turntable
轉軸兒	zhuàn zhóu r	zhuǎn zhóu ér	cc-cedict	erhua variant of 轉軸|转轴[zhuan4 zhou2]
轉速錶	zhuàn sù biǎo	zhuǎn sù biǎo	cc-cedict	tachometer/RPM gauge
轉鈴兒	zhuàn líng r	zhuǎn líng ér	cc-cedict	erhua variant of 轉鈴|转铃[zhuan4 ling2]
辣椒仔	là jiāo zǎi	là jiāo zǐ	cc-cedict	Tabasco (brand)
迎佛骨	yíng fó gǔ	yíng fú gǔ	cc-cedict	to ceremonially receive a bone relic of the Buddha
迎頭兒	yíng tóu r	yíng tóu ér	cc-cedict	erhua variant of 迎頭|迎头[ying2 tou2]
近地點	jìn dì diǎn	jìn de diǎn	cc-cedict	apsis/perigee
迦葉佛	jiā yè fó	jiā yè fú	cc-cedict-buddhist	Buddha Kassapa (Pāli) or Kāśyapa (Skt) (one of the Buddhas of the past)
迫擊炮	pǎi jī pào	pò jī pào	cc-cedict	mortar (weapon)/Taiwan pr. [po4 ji2 pao4]
逆反應	nì fǎn yìng	nì fǎn yīng	cc-cedict	reverse reaction/counterreaction/inverse response
逗笑兒	dòu xiào r	dòu xiào ér	cc-cedict	erhua variant of 逗笑[dou4 xiao4]
逗趣兒	dòu qù r	dòu qù ér	cc-cedict	to amuse/to make sb laugh/to tease
這會兒	zhè huì r	zhè huì ér	cc-cedict	(coll.) now/this moment/also pr. [zhe4 hui3 r5]
這邊兒	zhè biān r	zhè biān ér	cc-cedict	erhua variant of 這邊|这边[zhe4 bian1]
這陣兒	zhè zhèn r	zhè zhèn ér	cc-cedict	now/at present/at this juncture
這麼著	zhè me zhe	zhè me zhù	cc-cedict	thus/in this way/like this
速調管	sù tiáo guǎn	sù diào guǎn	cc-cedict	klystron (electronic tube used to produce high frequency radio waves)
連軸轉	lián zhóu zhuàn	lián zhóu zhuǎn	cc-cedict	(coll.) to work non-stop; to work around the clock
進行曲	jìn xíng qǔ	jìn xíng qū	cc-cedict	march (musical)
逼供信	bī gòng xìn	bī gōng xìn	cc-cedict	to obtain confessions by compulsion/confession under duress
遇難者	yù nàn zhě	yù nán zhě	cc-cedict	victim/fatality
