# form	reading	naive	authority	note
㔾	jié	xiān	cc-cedict	"seal" radical in Chinese characters (Kangxi radical 26)
㺵	jiǔ	jiú	cc-cedict	black jade (variant of 玖[jiu3])
㻬	tú	tū	cc-cedict	a kind of jade
䍃	yáo	yóu	cc-cedict	(archaic) vase; pitcher
䕭	xián	qián	cc-cedict	a kind of vegetable
䠀	chǎng	tāng	cc-cedict	to squat; to sit
丼	dòng	jǐng	cc-cedict	(Tw) bowl of steamed rice with other food on top (loanword from Japanese "donburi")
乇	zhé	tuō	cc-cedict	"blade of grass" component in Chinese characters
乑	zhòng	yín	cc-cedict	to stand side by side/variant of 眾|众[zhong4]
乜	niè	miē	cc-cedict	surname Nie
乪	nāng	náng	cc-cedict	a bend in a river (Cantonese)
亃	lín	lǐn	cc-cedict	mythical animal, said to have yellow body and white tail
仡	yì	gē	cc-cedict	strong/brave
价	jiè	jià	cc-cedict	(literary) messenger; servant
伲	nì	ní	cc-cedict	(dialect) I/my/we/our
伺	sì	cì	cc-cedict	to watch/to wait/to examine/to spy
佛	fó	fú	cc-cedict-buddhist	Buddha; Buddhism (abbr. for 佛陀[Fo2 tuo2])
佣	yòng	yōng	cc-cedict	commission (for middleman)/brokerage fee
佪	huái	huí	cc-cedict	irresolute/to move back and forth
佴	èr	nài	cc-cedict	assistant
俛	miǎn	fǔ	cc-cedict	to exhort
俟	sì	qí	cc-cedict	(literary) to wait for
倔	juè	jué	cc-cedict	gruff; surly
傀	guī	kuǐ	cc-cedict	grand/strange; exotic
傌	mǎ	mà	cc-cedict	(Chinese chess) horse; knight (on the red side)
僂	lǚ	lóu	cc-cedict	crookbacked
働	xx	dòng	cc-cedict	(Japanese kokuji) labor; work
僜	dèng	chēng	cc-cedict	Deng ethnic minority of Tibet
僣	jiàn	tiě	cc-cedict	to overstep one's authority/to usurp
僯	lǐn	lìn	cc-cedict	ashamed
儅	dāng	dàng	cc-cedict	stop
儳	chàn	chán	cc-cedict	irregular/mixed
儽	lěi	léi	cc-cedict	lazy/tired out, worn fatigued
兛	qian1ke4	qiān	cc-cedict	(old) contracted variant of 千克[qian1 ke4]
兝	fen1ke4	fēn	cc-cedict	(old) contracted variant of 分克[fen1 ke4]
兞	hao2ke4	máo	cc-cedict	(old) contracted variant of 毫克[hao2 ke4]
兣	li2ke4	lǐ	cc-cedict	(old) contracted variant of 釐克|厘克[li2 ke4]
凔	cāng	chuàng	cc-cedict	cold
几	jī	jǐ	cc-cedict	small table
凵	kǎn	qiǎn	cc-cedict	receptacle
划	huá	huà	cc-cedict	to row/to paddle/profitable/worth (the effort)/it pays (to do sth)
劄	zhā	zhá	cc-cedict	to prick with a needle
劦	liè	xié	cc-cedict	unending exertion
勣	jì	jī	cc-cedict	merit; accomplishment (variant of 績|绩[ji4])
匙	chí	shi	cc-cedict	spoon
厂	hǎn	chǎng	cc-cedict	"cliff" radical in Chinese characters (Kangxi radical 27), occurring in 原, 历, 压 etc
厎	zhǐ	dǐ	cc-cedict	whetstone
厖	páng	máng	cc-cedict	huge
叶	xié	yè	cc-cedict	to be in harmony
吔	yē	yě	cc-cedict	onomat. for surprise, amazement and sigh
听	yǐn	tīng	cc-cedict	smile (archaic)
呇	qǐ	mèn	cc-cedict	star
呠	pēn	pěn	cc-cedict	to spurt/to blow out/to puff out/to snort
呴	xū	xǔ	cc-cedict	breathe on/yawn/roar
呿	qū	qù	cc-cedict	to yawn
咁	gān	hán	cc-cedict	so (Cantonese)/Mandarin equivalent: 這樣|这样[zhe4 yang4]
咔	kǎ	kā	cc-cedict	(used as phonetic "ka")
咗	zuǒ	zuo	cc-cedict	Cantonese particle equivalent to 了[le5] or 過|过[guo4]
哋	dì	diè	cc-cedict	(Cant.) plural for pronouns
唶	jiè	zé	cc-cedict	sigh/groan/loud laughter
唹	yú	yū	cc-cedict	to smile at
唻	lai	lài	cc-cedict	(dialect) modal particle similar to 呢[ne5], 啦[la5] or 來著|来着[lai2 zhe5]
唼	shǎ	shà	cc-cedict	to speak evil/gobbling sound made by ducks
啁	zhōu	zhāo	cc-cedict	twittering of birds
啅	zhào	zhuó	cc-cedict	chirp
啜	chuò	chuài	cc-cedict	(literary) to drink/to sip/to sob
啱	yān	yán	cc-cedict	correct/suitable/to suit sb/just now (Cantonese)
喣	xǔ	xù	cc-cedict	to breathe upon
喺	xǐ	xí	cc-cedict	to be at, in or on (Cantonese)/Mandarin equivalent: 在[zai4]
喼	jié	jiē	cc-cedict	box (dialect)/used to transliterate words with sounds kip-, cap- etc
喿	sào	zào	cc-cedict	chirping of birds
嗀	huò	hù	cc-cedict	to vomit
嗊	gòng	hǒng	cc-cedict	used for transcription in 嗊吥|唝吥[Gong4 bu4]
嗑	kè	kē	cc-cedict	to crack (seeds) between one's teeth
嗛	qiàn	qiǎn	cc-cedict	pouch/hold/content
嗰	gè	gě	cc-cedict	that (Cantonese)/Mandarin equivalent: 那[na4]
嗻	zhè	zhē	cc-cedict	(old) aye aye!
嘀	dī	dí	cc-cedict	(onom.) sound of dripping water, a ticking clock etc
嘅	gě	kǎi	cc-cedict	possessive particle (Cantonese)/Mandarin equivalent: 的[de5]
嘜	mài	mà	cc-cedict	mark (loanword)/also pr. [ma4]
嘮	lào	láo	cc-cedict	to gossip/to chat (dialect)
噦	yuě	huì	cc-cedict	to puke/to hiccup/Taiwan pr. [yue1]
噱	jué	xué	cc-cedict	loud laughter
嚃	tà	tā	cc-cedict	(literary) to drink; to swallow
嚕	lū	lǔ	cc-cedict	grumble/chatter
嚱	xī	xì	cc-cedict	(sigh)/(whistle)
嚼	jiáo	jué	cc-cedict	to chew/also pr. [jue2]
囉	luo	luō	cc-cedict	(final exclamatory particle)
圕	tuān	tú	cc-cedict	library (contracted form of 圖書館|图书馆[tu2 shu1 guan3])
圣	kū	shèng	cc-cedict	(literary) to dig with persistent effort (e.g. to gather wild vegetables)
垵	ǎn	ān	cc-cedict	(used in place names)/variant of 埯[an3]
垺	póu	fú	cc-cedict	extremely large
埄	fēng	běng	cc-cedict	landmark used during the Song Dynasty (960-1279 AD)
堎	líng	lèng	cc-cedict	mound/tomb
塂	jiǎng	xiàng	cc-cedict	(dialect) hill
墐	jǐn	jìn	cc-cedict	bury/plaster with mud
壆	bó	xué	cc-cedict	(dialect) mounded row of soil (in which crops are planted)
奓	zhà	zhā	cc-cedict	to open/to spread
妳	nǐ	nǎi	cc-cedict	you (Note: In Taiwan, 妳 is used to address females, but in mainland China, it is not commonly used. Instead, 你 is used t
姺	xiǎn	shēn	cc-cedict	name of an ancient state
娸	qí	qī	cc-cedict	to ridicule/ugly
婼	chuò	ruò	cc-cedict	recalcitrant
媞	tí	shì	cc-cedict	used as phonetic/female name
媠	tuó	tuǒ	cc-cedict	beautiful
嫑	biáo	báo	cc-cedict	(dialect) don't; must not (contracted form of 不要[bu4 yao4])
嬅	huá	huà	cc-cedict	beautiful/used in girls' names
嬤	mó	mā	cc-cedict	dialectal or obsolete equivalent of 媽|妈[ma1]/Taiwan pr. [ma1]
嬬	xū	rú	cc-cedict	mistress, concubine/weak
孖	zī	mā	cc-cedict	twins
孻	lái	nái	cc-cedict	last
宁	zhù	níng	cc-cedict	to store/to stand/space between the door and the entrance screen
寀	cài	cǎi	cc-cedict	feudal estate
崋	huá	huà	cc-cedict	flowery/illustrious/Chinese
崱	zé	zè	cc-cedict	lofty
崾	yǎo	yào	cc-cedict	(used in place names)
嵴	jí	jǐ	cc-cedict	ridge/crest/apex
嶭	è	niè	cc-cedict	elevated/lofty
巆	hōng	róng	cc-cedict	(onom.) crashing sound/same as 訇[hong1]
帗	fú	bō	cc-cedict	object held by dancer
帣	juàn	juǎn	cc-cedict	a bag which holds 30 pecks (i.e. approx 3 kg dry measure)
幀	zhēn	zhèng	cc-cedict	frame/classifier for paintings etc/Taiwan pr. [zheng4]
幵	qiān	jiān	cc-cedict	(literary) flat; level
并	bīng	bìng	cc-cedict	short name for Taiyuan 太原[Tai4 yuan2]
广	yǎn	guǎng	cc-cedict	"house on a cliff" radical in Chinese characters (Kangxi radical 53), occurring in 店, 序, 底 etc
庬	páng	máng	cc-cedict	huge
廆	guī	wěi	cc-cedict	ancient name of a mountain west of Luoyang, Henan, now known as 谷口山[Gu3 kou3 Shan1]
彽	chí	dī	cc-cedict	go to and fro
徻	wèi	huì	cc-cedict	a wide room
忄	xīn	xin	cc-cedict	Kangxi radical 61 (心) as a vertical side element
怞	zhòu	chóu	cc-cedict	to grieve/sorrowful
恔	xiào	jiǎo	cc-cedict	cheerful
悄	qiǎo	qiāo	cc-cedict	quiet/sad
惏	lín	lán	cc-cedict	cold/frigid
懅	qú	jù	cc-cedict	bashful/ashamed
懫	zhí	zhì	cc-cedict	enraged/resentful/to hate/to desist
戠	zhí	zhī	cc-cedict	to gather/old variant of 埴[zhi2]
扌	shǒu	shou	cc-cedict	"hand" radical in Chinese characters (Kangxi radical 64), occurring in 提, 把, 打 etc
扡	chǐ	tuō	cc-cedict	drag along
扻	zì	zhì	cc-cedict	to strike/to run against/to throw, as a stone
抆	wèn	wěn	cc-cedict	to wipe
挶	jú	jū	cc-cedict	structure for carrying dirt
掙	zhèng	zhēng	cc-cedict	to struggle to get free/to strive to acquire/to make (money)
掞	shàn	yàn	cc-cedict	easy/quiet
掫	zōu	zhōu	cc-cedict	beat the night watches/grasp
揃	jiān	jiǎn	cc-cedict	shear
揗	shǔn	xún	cc-cedict	strike, hit with hand/tap
揝	zuàn	zǎn	cc-cedict	to hold in the hand, to grasp/to wring
揲	shé	dié	cc-cedict	sort out divining stalks
搕	kè	kē	cc-cedict	to strike/to take in the hand
搷	chēn	tián	cc-cedict	to beat/to winnow
摲	shàn	chàn	cc-cedict	to cut down/mow
摴	shū	chū	cc-cedict	dice/gambling/to release
撱	tuǒ	wěi	cc-cedict	clip/shorten/throw away
擖	gě	kā	cc-cedict	scrape
擭	huò	wò	cc-cedict	trap
擻	sòu	sǒu	cc-cedict	(dialect) to stoke the embers (to revive a fire)/Taiwan pr. [sou3]
擼	lū	lǔ	cc-cedict	(dialect) to grasp (sth long or cylindrical) and slide the hand up or down/(dialect) to fire (an employee)/(dialect) to 
攂	léi	lèi	cc-cedict	to beat (old variant of 擂[lei2])
攃	sà	cā	cc-cedict	preceding
敇	chì	cè	cc-cedict	Imperial command or edict
敧	qǐ	jī	cc-cedict	to pick up thing with chopsticks or pincers.
敪	duó	duō	cc-cedict	to weigh/to cut/to come without being invited
斄	tái	lí	cc-cedict	ancient place name (a Han dynasty town in Shaanxi)/variant of 邰[Tai2]
斮	zhuó	cuò	cc-cedict	cut off
昤	līng	líng	cc-cedict	sunshine
晅	xuān	xuǎn	cc-cedict	light of the sun/to dry in the sun
晿	chēng	chāng	cc-cedict	(used in names)
暍	hè	yē	cc-cedict	hot
朘	juān	zuī	cc-cedict	(literary) to reduce/(literary) to exploit
朾	tíng	chéng	cc-cedict	to bump
杝	yí	lí	cc-cedict	(tree)
杠	gāng	gàng	cc-cedict	flagpole/footbridge
杷	bà	pá	cc-cedict	handle or shaft (of an axe etc)/hoe/to harrow
枒	yá	yā	cc-cedict	the coconut tree/rim
枙	è	ě	cc-cedict	tree knot
枸	gōu	gǒu	cc-cedict	bent/crooked
枹	fū	bāo	cc-cedict	Quercus glandulifera
柈	pán	bàn	cc-cedict	plate
柜	jǔ	guì	cc-cedict	Salix multinervis
柞	zuò	zhà	cc-cedict	oak/Quercus serrata
柣	zhí	zhì	cc-cedict	threshold
柵	zhà	shān	cc-cedict	fence/also pr. [shan1]
栟	bīng	bēn	cc-cedict	Trachycarpus excelsa
栵	lì	liè	cc-cedict	hedge
桄	guàng	guāng	cc-cedict	woven wood and bamboo utensil/classifier for threads and strings
桲	bó	po	cc-cedict	flail
梡	kuǎn	hún	cc-cedict	(tree)/stand for sacrifice
棳	zhuó	zhuō	cc-cedict	small pillars that support the roof, those which rest on the main beam
楅	bì	bī	cc-cedict	ox yoke placed on the horns
楎	hún	huī	cc-cedict	clothes-horse
楯	shǔn	dùn	cc-cedict	draw forth/horizontal railing
榥	huǎng	huàng	cc-cedict	screen
榼	kè	kē	cc-cedict	Pusaetha scandens
槑	dāi	méi	cc-cedict	(Internet slang) emphatic variant of 呆[dai1]
槾	mán	màn	cc-cedict	(tree)
樠	mén	mán	cc-cedict	elm/gum
樿	zhǎn	shàn	cc-cedict	(wood)
橁	xún	chūn	cc-cedict	Fraxinus bungeana
橎	fǎn	fán	cc-cedict	a kind of tree
欑	zàn	cuán	cc-cedict	gather
欹	yī	qī	cc-cedict	interjection
歺	cān	è	cc-cedict	second-round simplified character for 餐[can1]
氓	méng	máng	cc-cedict	(literary) common people
氜	rì	yáng	cc-cedict	old name for 氦[hai4], helium
氵	shuǐ	shui	cc-cedict	"water" radical in Chinese characters (Kangxi radical 85), occurring in 沒|没[mei2], 法[fa3], 流[liu2] etc/see also 三點水|三点水[
氿	guǐ	jiǔ	cc-cedict	mountain spring
沕	wù	mì	cc-cedict	abstruse/profound
泑	yǒu	yōu	cc-cedict	the vitreous glaze on china, porcelain etc
泭	fū	fú	cc-cedict	a raft
浰	lì	liàn	cc-cedict	to attend (official functions)
涌	chōng	yǒng	cc-cedict	(used in place names)
渢	fēng	fán	cc-cedict	(onom.) sound of flowing water/sound of wind/Taiwan pr. [feng2]
渮	gē	hé	cc-cedict	place name
湑	xǔ	xū	cc-cedict	abundant/bright/strain spirits
湞	zhēn	chēng	cc-cedict	river in Guangdong province
溈	guī	wéi	cc-cedict	name of a river in Shanxi
溎	guì	yàn	cc-cedict	name of a river
溱	zhēn	qín	cc-cedict	name of a river
溾	wēi	āi	cc-cedict	light rain
滃	wěng	wēng	cc-cedict	(of clouds) to rise/(of water) to swell
滉	huǎng	huàng	cc-cedict	bright expanse of water
漊	lǚ	lóu	cc-cedict	drizzle
漦	lí	chí	cc-cedict	go with current/mucus/spittle
漯	tà	luò	cc-cedict	name of a river
漷	kuò	huǒ	cc-cedict	clashing of two currents
潏	jué	yù	cc-cedict	to bubble up
潚	xiāo	sù	cc-cedict	sound of rain and wind
潦	lǎo	liáo	cc-cedict	flooded/heavy rain
澠	shéng	miǎn	cc-cedict	name of a river in Shandong
澮	kuài	huì	cc-cedict	drain/stream
灬	huǒ	biāo	cc-cedict	"fire" radical in Chinese characters (Kangxi radical 86), occurring in 熙, 然, 熊 etc
灴	hóng	hōng	cc-cedict	to bake, to roast/to dry at a fire
烋	xiāo	xiū	cc-cedict	to boil or fumigate
煠	yè	zhá	cc-cedict	to fry in fat or oil/to scald
熇	kǎo	hè	cc-cedict	dry
燂	qián	tán	cc-cedict	to heat/to scorch
爌	kuǎng	kuàng	cc-cedict	flame light
牏	tóu	yú	cc-cedict	short board/plank
犆	tè	zhí	cc-cedict	male animal
犉	rún	chún	cc-cedict	ox
犛	lí	máo	cc-cedict	black ox/yak
犵	qì	gē	cc-cedict	name of a tribe
狘	yuè	xuè	cc-cedict	jump
猈	bà	bài	cc-cedict	dog with short shinbone
猭	yuán	chuān	cc-cedict	ape/Hylobates agilis
琠	diǎn	tiǎn	cc-cedict	gem used as ear plug/jade earrings
琢	zhuó	zuó	cc-cedict	to cut (gems)
瓩	qian1wa3	qiān	cc-cedict	(old) contracted variant of 千瓦[qian1 wa3]
瓸	bai3wa3	bǎi	cc-cedict	(old) contracted variant of 百瓦[bai3 wa3]
甽	quǎn	zhèn	cc-cedict	drain between fields, irrigation
畷	chuò	zhuì	cc-cedict	raised path between fields
畽	tuǎn	tǔn	cc-cedict	place trodden by animals
疋	shū	pǐ	cc-cedict	foot
疶	xiè	xuē	cc-cedict	dysentery
痁	diàn	shān	cc-cedict	malarial fever
痡	pū	fū	cc-cedict	sick/disabled
痭	péng	bēng	cc-cedict	menorrhagia
痾	kē	ē	cc-cedict	(literary) disease/also pr. [e1]
瘈	jì	chì	cc-cedict	furious/hydrophobia/madness
瘩	dá	da	cc-cedict	sore/boil/scab
癐	guài	guì	cc-cedict	(literary) serious illness/(Cantonese) variant of 攰[gui4]
癿	qié	bié	cc-cedict	(used in place names)
皀	bī	jí	cc-cedict	one grain
皝	huǎng	huàng	cc-cedict	luminous/bright hoary, white
皻	cǔ	zhā	cc-cedict	chapped skin
盡	jìn	jǐn	cc-cedict	to use up/to exhaust/to end/to finish/to the utmost/exhausted/finished/to the limit (of sth)/all/entirely
眯	mí	mī	cc-cedict	to blind (as with dust)/Taiwan pr. [mi3]
睆	huǎn	huàn	cc-cedict	good-looking/cute
矼	jiāng	gāng	cc-cedict	stone bridge
矽	xī	xì	cc-cedict	(Tw) silicon (chemistry)/Taiwan pr. [xi4]
砈	è	ě	cc-cedict	astatine (chemistry) (Tw)
砠	qū	jū	cc-cedict	rocky hill
砢	luǒ	kē	cc-cedict	a heap/pile (of rocks)
砫	zhǔ	zhù	cc-cedict	ancestral tablet
硍	kèn	yín	cc-cedict	rumbling of rolling stones
硐	tóng	dòng	cc-cedict	grind
磑	wèi	wéi	cc-cedict	(literary) grindstone/(literary) to mill
磹	diàn	tán	cc-cedict	stone wedge
礧	lèi	léi	cc-cedict	roll stone down hill/stone pile
祢	nǐ	mí	cc-cedict	you (used to address a deity)
祲	jīn	jìn	cc-cedict	evil force
禔	tí	zhī	cc-cedict	well-being
禫	tǎn	dàn	cc-cedict	sacrifice at the end of mourning
离	chī	lí	cc-cedict	mythical beast (archaic)
秷	zhí	zhì	cc-cedict	sound of reaping
稙	zhí	zhī	cc-cedict	early-planted crop
穇	shān	cǎn	cc-cedict	panicum frumentaceum
穈	mén	méi	cc-cedict	porridge/rice sprouts
窔	yǎo	yào	cc-cedict	dark/deep/southeast corner of room
笐	gāng	háng	cc-cedict	bamboos placed across wooden frames on which grain may be stored in damp climates
笓	pí	bì	cc-cedict	to comb/fine-toothed comb/trap for prawns
筈	guā	kuò	cc-cedict	arrow end
筊	jiǎo	xiáo	cc-cedict	bamboo rope
築	zhù	zhú	cc-cedict	to build/to construct/to ram/to hit/Taiwan pr. [zhu2]
篢	gōng	lǒng	cc-cedict	bamboo hat
簁	xǐ	shāi	cc-cedict	sieve/to sift, to strain
簻	kē	zhuā	cc-cedict	big/hunger
籛	jiān	jiǎn	cc-cedict	surname Jian
粨	bai3mi3	bǎi	cc-cedict	(old) contracted variant of 百米[bai3 mi3]
糺	jiǔ	jiū	cc-cedict	army (used during the Liao, Jin and Yuan dynasties)
絅	jiǒng	jiōng	cc-cedict	monotone garment with no lining
絣	bǐng	bēng	cc-cedict	Ikat, a type of woven silk/Kasuri
絻	wèn	miǎn	cc-cedict	(old) mourning apparel
綏	suí	suī	cc-cedict	to pacify/Taiwan pr. [sui1]
綮	qǐ	qìng	cc-cedict	embroidered banner
緁	jié	qiè	cc-cedict	to join/to splice/to braid
緰	yú	tóu	cc-cedict	net
縝	zhěn	chēn	cc-cedict	fine and dense
縯	yǐn	yǎn	cc-cedict	long
縳	zhuàn	juàn	cc-cedict	to tie up
績	jì	jī	cc-cedict	to spin (hemp etc)/merit/accomplishment/Taiwan pr. [ji1]
繆	miào	móu	cc-cedict	surname Miao
繨	dá	da	cc-cedict	a knot (of a rope)
纕	xiāng	rǎng	cc-cedict	cord to hold up sleeves
罓	wǎng	gāng	cc-cedict	net (Kangxi radical 122)
罿	tóng	chōng	cc-cedict	bird net
羵	fěn	fén	cc-cedict	spirit
翛	shù	xiāo	cc-cedict	hastiness
肙	yuān	yuàn	cc-cedict	a small worm/to twist/to surround/empty
肵	jìn	qí	cc-cedict	table
脧	zuī	juān	cc-cedict	(literary) young boy's penis
腊	xī	là	cc-cedict	dried meat/also pr. [xi2]
腍	rěn	rèn	cc-cedict	be satiated/cooked/good-tasting
舡	gāng	chuán	cc-cedict	boat/ship
艹	cǎo	cao	cc-cedict	grass radical 草字頭兒|草字头儿[cao3 zi4 tou2 r5]
芘	pí	bǐ	cc-cedict	Malva sylvestris
芨	jí	jī	cc-cedict	Bletilla hyacinthina (mucilaginous)/Acronym for the Chinese Elder tree 菫草
芫	yuán	yán	cc-cedict	lilac daphne (Daphne genkwa), used in Chinese herbal medicine
芾	fú	fèi	cc-cedict	luxuriance of vegetation
苕	tiáo	sháo	cc-cedict	reed grass/Chinese trumpet vine (Campsis grandiflora) (old)
茆	mǎo	máo	cc-cedict	type of water plant/(dialect) loess hills
茈	zǐ	cí	cc-cedict	Common Gromwell or European stoneseed (Lithospermum officinale)
茍	jí	jì	cc-cedict	urgent
茠	xiū	hāo	cc-cedict	to weed/to eradicate
茦	cè	cì	cc-cedict	pointed grass blade/to prick
菀	yù	wǎn	cc-cedict	luxuriance of growth
葥	qián	jiàn	cc-cedict	Rubus palmatus
蒔	shì	shí	cc-cedict	(literary) to grow/(literary) to transplant/Taiwan pr. [shi2]
蓫	zhú	chù	cc-cedict	(weed)/Phytolacca acinosa
蓿	xù	xu	cc-cedict	clover/lucerne/Taiwan pr. [su4]
蕃	fán	bō	cc-cedict	luxuriant/flourishing/to reproduce/to proliferate
蕻	hòng	hóng	cc-cedict	(literary) luxuriant; flourishing/(literary) bud/(dialect) long stem of certain vegetables
薉	wèi	huì	cc-cedict	weedy
薢	xiào	xiè	cc-cedict	woody climbing plant
薧	kǎo	hāo	cc-cedict	dried food
薶	wō	mái	cc-cedict	to make dirty/to soil
薸	piāo	piáo	cc-cedict	duckweed
蘋	pín	píng	cc-cedict	clover fern (Marsilea quadrifolia)
蘵	zhí	zhī	cc-cedict	Physalis angulata
虷	gān	hán	cc-cedict	worm
蚵	é	hé	cc-cedict	(Tw) oyster (from Taiwanese, Tai-lo pr. [ô])
蛅	rán	zhān	cc-cedict	a caterpillar
蛣	jié	qī	cc-cedict	beetle
蛤	gé	há	cc-cedict	(bound form) clam/used in 蛤蚧[ge2 jie4]
蜆	xiǎn	xiàn	cc-cedict	basket clam (clam of family Corbiculidae); (esp.) Corbicula leana 真蜆|真蚬[zhen1 xian3]
蝍	jí	jié	cc-cedict	a centipede
蠙	bīn	pín	cc-cedict	pearl-oyster
蠰	shàng	náng	cc-cedict	Cerambyx rugicollis
衉	kè	kā	cc-cedict	to vomit
衵	nì	yì	cc-cedict	women's undergarments
衹	qí	zhǐ	cc-cedict-buddhist	robe of a Buddhist monk or nun
袚	fú	bō	cc-cedict	knee-pads/buskins
袮	nǐ	mí	cc-cedict	You/Thou (of deity)/variant of 你[ni3]
袲	yí	chǐ	cc-cedict	place name
裳	cháng	shang	cc-cedict	lower garment/skirts/petticoats/garments
褉	xiē	xiè	cc-cedict	short garments
襡	shú	shǔ	cc-cedict	short skirt or tunic
襢	zhàn	tǎn	cc-cedict	unadorned but elegant dress
覗	sī	sì	cc-cedict	peek
詑	tuó	yí	cc-cedict	cheat
詨	jiāo	xiào	cc-cedict	kind of cicada, cosmopsaltria
誃	chǐ	yí	cc-cedict	to separate
誒	xī	éi	cc-cedict	sigh (to express regret)
誧	pǔ	bū	cc-cedict	huge/to admonish
誰	shéi	shuí	cc-cedict	who/also pr. [shui2]
謑	xì	xǐ	cc-cedict	shame/disgrace
謦	qì	qìng	cc-cedict	cough slightly
豦	qú	jù	cc-cedict	a wild boar/to fight
賏	yìng	yīng	cc-cedict	pearls or shells strung together
賧	dǎn	tàn	cc-cedict	(old barbarian dialects) to pay a fine in atonement/river/Taiwan pr. [tan4]
贉	tǎn	dàn	cc-cedict	pay an advance/silk book cover
趄	qiè	jū	cc-cedict	to slant; to incline
跁	pá	bà	cc-cedict	to squat/crouch
跐	cǐ	cī	cc-cedict	to trample/to step/to walk on the ball of the foot
跕	dié	diǎn	cc-cedict	shuffle
跙	jǔ	jù	cc-cedict	weak, lame
跡	jì	jī	cc-cedict	(bound form) trace; mark; vestige; clue/Taiwan pr. [ji1]
踆	qūn	cūn	cc-cedict	squat
踤	cù	zú	cc-cedict	to butt against
踦	jǐ	yǐ	cc-cedict	shin
蹊	xī	qī	cc-cedict	(literary) footpath
蹓	liù	liū	cc-cedict	to stroll/walk a horse
蹜	suō	sù	cc-cedict	walk carefully
蹟	jì	jī	cc-cedict	(bound form) vestige; historical remains (variant of 跡|迹[ji4])
躂	dā	dá	cc-cedict	to stumble/to slip/variant of 達|达[da2]
躠	xiè	sǎ	cc-cedict	to limp
躦	zuān	cuó	cc-cedict	to jump
轘	huàn	huán	cc-cedict	to tear between chariots (as punishment)
轞	xiàn	jiàn	cc-cedict	vehicle for transporting prisoners
迤	yǐ	yí	cc-cedict	extending to
逌	yóu	yōu	cc-cedict	distant/joyous/satisfied
逴	chuò	chuō	cc-cedict	apparent/distant/highly
遫	sù	chì	cc-cedict	alert/nimble/quick
遻	wù	è	cc-cedict	recalcitrant/to encounter
郇	xún	huán	cc-cedict	name of a feudal state
郗	chī	xī	cc-cedict	surname Chi/name of an ancient city
鄇	hòu	hóu	cc-cedict	place name
鄎	xì	xī	cc-cedict	place name
鄏	rù	rǔ	cc-cedict	place name
鄚	mò	mào	cc-cedict	surname Mo
鄿	qí	jī	cc-cedict	(herb)/place name
酏	yí	yǐ	cc-cedict	elixirs/sweet wine
醊	chuò	zhuì	cc-cedict	pour libation on ground
醝	cuó	cuō	cc-cedict	liquor/spirit
醱	pō	fā	cc-cedict	to ferment alcohol/Taiwan pr. [po4]
釃	shī	shāi	cc-cedict	(literary) to filter (wine)/to pour (wine or tea)/to dredge/also pr. [shai1]/Taiwan pr. [si1]
釙	pō	pò	cc-cedict	polonium (chemistry)/Taiwan pr. [po4]
釩	fán	fǎn	cc-cedict	vanadium (chemistry)
釪	yú	huá	cc-cedict	an alms bowl/a small bell
鈮	ní	nǐ	cc-cedict	niobium (chemistry)
鈹	pí	pī	cc-cedict	beryllium (chemistry)
鉈	tā	shī	cc-cedict	thallium (chemistry)
鉕	pǒ	pō	cc-cedict	promethium (chemistry)
鉨	nǐ	xǐ	cc-cedict	(chemistry) nihonium
鉺	ěr	èr	cc-cedict	erbium (chemistry)
鉿	hā	jiā	cc-cedict	hafnium (chemistry)
銎	qiōng	qióng	cc-cedict	eye of an axe
銻	tī	tí	cc-cedict	antimony (chemistry)
鋘	wú	huá	cc-cedict	to plaster/trowel
鋙	wú	yǔ	cc-cedict	hoe
鋟	qín	qǐn	cc-cedict	to carve
錁	kè	guǒ	cc-cedict	grease-pot for cart/ingot
錇	péi	póu	cc-cedict	berkelium (chemistry)
錈	juàn	juǎn	cc-cedict	to bend iron
錏	yà	yā	cc-cedict	ammonium (old)
鍐	cōng	zōng	cc-cedict	a headstall, ornament on a bridle
鍩	nuò	tiǎn	cc-cedict	nobelium (chemistry)
鍶	sī	sōng	cc-cedict	strontium (chemistry)
鎉	tà	dá	cc-cedict	thallium
鎘	gé	lì	cc-cedict	cadmium (chemistry)
鎝	tǎ	dā	cc-cedict	technetium (chemistry) (Tw)
鎞	bì	bī	cc-cedict	plowshare/barb, lancet
鎤	huǎng	huàng	cc-cedict	sound of a bell/small bell
鐄	héng	huáng	cc-cedict	bell
鐐	liào	liáo	cc-cedict	fetters/leg-irons/shackles
鐓	dūn	duì	cc-cedict	upsetting (forged pieces)
鐧	jiǎn	jiān	cc-cedict	ancient weapon like a long solid metal truncheon
鑭	lán	làn	cc-cedict	lanthanum (chemistry)
鑰	yuè	yào	cc-cedict	key/also pr. [yao4]
鑴	xì	xī	cc-cedict	to engrave or carve, as a block for printing
钃	shǔ	zhú	cc-cedict	metal
閡	hé	ài	cc-cedict	obstruct
闆	pàn	bǎn	cc-cedict	to catch sight of in a doorway (old)
闟	xī	xì	cc-cedict	peacefully/quietly
阤	tuó	zhì	cc-cedict	bank/hillside
隃	yú	shù	cc-cedict	exceed/jump over
隩	yù	ào	cc-cedict	bay/cove
雘	huò	wò	cc-cedict	red earth used for paints
雟	suí	xī	cc-cedict	sparrow/revolve/place name
鞝	zhǎng	shàng	cc-cedict	patch of leather
韖	róu	rǒu	cc-cedict	tan, soften
